頭金,支払金額
異なる,相異なる
異なる,相異なる
阻碍,制約
阻碍,押しとどめる
阻碍,押しとどめる
裹む,触れ合う
裹む,覆う
裹む,入換える
ナイター,アウトドアゲーム
相互参照,引用句
読過す,聞洩らす
投げ棄てる,取去る
助兵衛,変質者
助兵衛,変質者
アクセル,ペダル
自注,解釈
丹田,身体部位
扶翼,お手伝い
扶翼,労働
扶翼,援護
グレー,無彩色
ローラースケート,スケート
ローラースケート,スケート
プログラミング言語,人工言語
コートを着せる,衣服を着せる
設計,考案
設計,思惟作用
設計,取り合わせ
設計,下書き
設計,考える
設計,創造
設計,企てる
設計,考える
設計,考案
設計,思惟作用
設計,取り合わせ
設計,下書き
設計,考える
設計,創造
設計,企てる
設計,考える
隠退,隠
引続,順序
教え子,受講者
難攻不落,安全
難攻不落,安全
壊疽,死歿
真分数,分数
総名代,仲立ち人
総名代,代表
乳房Ｘ線撮影,診断法
大陸氷河,氷河
仕掛,作戦
仕掛,不利
仕掛,実行
災禍,苦しみ
災禍,災難
短銃,拳銃
短銃,鉄砲
檣楼,壇
寝間着,衣装
九天,表層
九天,レジデンス
緊急,分れ目
緊急,分れ目
子ヤギ,山羊
ジェントルウーマン,女子
減速,変易
減速,遅れ
減速,減じる
減速,変易
減速,遅れ
減速,減じる
向,場所
向,性質
浮き名,ゴシップ
遊び女,女子
弟,兄人
連関,協同
連関,抽象的実体
連関,結付き
招待,勧誘
招待,申出
招待,玉簡
招待,要求
招待,要求
招待,勧誘
招待,申出
招待,玉簡
招待,要求
招待,要求
貯留,取っておく
申事,内容
柱石,お手伝い
自発的に申し出る,告げ知らせる
タランテラ,ダンス
御化,幻影
胎位,体勢
遣り取り,両替
遣り取り,話し
遣り取り,逆転
遣り取り,書き換える
遣り取り,両替
遣り取り,話し
遣り取り,逆転
遣り取り,書き換える
ツベルクリン,汁
えり分ける,採択
産み落とす,生じる
加味,材料
コンタクトスポーツ,運動競技
知性の持ち主,知識人
見せ所,詳細
川･河,流れ
バス業務,公益法人
顔触れ,仲間
哀憫,共鳴り
哀憫,容赦
哀憫,同情
哀憫,慈悲深さ
哀憫,泣く
哀憫,共鳴り
哀憫,容赦
哀憫,同情
哀憫,慈悲深さ
哀憫,泣く
積込む,置く
積込む,充す
眩惑,混乱
吸いつく,付着
品揃え,寄せ集め
語学,科学
自註,解釈
ａ,貴金属
ａ,導電体
居住地,所
敗け,フィニッシュ
敗け,不成功
才能,才幹
才能,力量
才能,力量
才能,良能
才能,ジーニアス
才能,才幹
ジブカイン,静脈麻酔薬
仇討,処罰
大写し,フォトグラフ
吊る下がる,掛かる
一員,一部分
一員,お客さん
円形交差点,接点
訪れ,訪問
ネーヴィー,役所
払い戻し,入金
払い戻し,支辨
払い戻し,埋合わせる
払い戻し,入金
払い戻し,支辨
払い戻し,埋合わせる
学士,知識人
忠実な信者たち,社会集団
顔付き,相好
顔付き,風姿
顔付き,風姿
かびる,遷移
ピル,避妊装置
ピル,薬の１回分
ナース,医療従事者
セイヨウカボチャ,草片
長上,成人
コーヒー豆,種子
背信行為,不誠意
洗濯ソーダ,塩
献ずる,賦する
メイルオーダー,ご注文
うっちゃらかす,取去る
噯,反射作用
噯,映写
培養基,滋養分
早少女,女子
早少女,女
憤り,反感
憤り,情感
憤り,向かっ腹
下り坂,傾斜
下り坂,減少
下り坂,容態
山椒魚,両生類
ヘルパー,サラリーマン
マルハナバチ,ハナバチ
様相,属性
様相,持ち味
様相,風姿
酒石酸塩,塩
空間的性質,性質
バックラム,切れ地
辞表,記文
媒染剤,着色材
境界線の外側,縁
ただいま,此の中
プラグマティズム,哲理
不向き,性状
勝者,戦士
勝者,競演者
勝者,個人
下位集団,集まり
勿怪,出来事
単位料金,値
単位,一部分
隊,連中
隊,団体
隊,一叢
計算書,付出し
計算書,決算報告
計算書,商業証券
裸にする,除去
震顫,動
符牒,表徴
符牒,信号
符牒,人定
符牒,シークレット
サブカルチャー,社会集団
仕向ける,唆る
仕向ける,交流
仕向ける,無理強
仕向ける,誘発
仕向ける,引き付ける
仕向ける,運輸
屈折異常,視力障害
毛細管,筒
アドレス,符号
レトロウイルス,動物ウイルス
なくなる,終わる
溶き粉,ミックス
金高,資産
連邦裁判所,法廷
出訴期限法,科条
陳謝,ご了承
陳謝,ご了承
ぶら下がる,掛かる
感嘆,愕き
感嘆,好き
感嘆,反応
感嘆,愕き
感嘆,好き
感嘆,反応
ローラー,機械装置
ローラー,円柱
花よめ,参加者
ファラオ,天下取り
炭酸水,上水
炭酸水,ソフトドリンク
切取る,落ちる
サービスブレーク,勝利
プライムタイム,時
財政,システム
仕熟す,取りあつかう
鎮静化,労る
戒,布告
戒,通信
戒,奨め
言葉による記述,口述
高等批評,本文批評
悪地,土
繰りかえし,持続
御持たせ,おくり物
葯,生殖構造
封建制度,社会構造
アカンサス,草
充ちる,なる
充ちる,摂する
充ちる,御座る
三輪車,車
主,主任
主,成人
主,個人
主,天下取り
主,営業マン
主,主任
主,成人
主,個人
主,天下取り
主,営業マン
主,主任
主,成人
主,個人
主,天下取り
主,営業マン
大きな出来事,出来事
ティーグラウンド,場所
白状,ご了承
白状,審判
白状,肯定
白状,肯定
白状,ご了承
白状,審判
白状,肯定
白状,肯定
白金,貴金属
ひどく不愉快なこと,不快
見目,風姿
見目,言語単位
防塞,守
防塞,砦
防塞,駐屯所
切っ掛け,裏付
落ち着き,本質
落ち着き,閑寂
調節する,合わせる
ガラス製,ギヤマン
引掛け,プラン
思上がり,傲り
使い果たす,摩切る
使い果たす,摩切る
付もの,添加物
簡略化,除却
送付ける,移転
夫婦別れ,別ち
夫婦別れ,分れる
夫婦別れ,別ち
夫婦別れ,分れる
踏ん反り返る,曲げる
網羅,含有
使処,実用性
対義語,単語
食料品店,市場
木ノ実,種子
木ノ実,果物
多幸,巡り合わせ
多幸,巡り合わせ
計画,考案
計画,考え
計画,思惟作用
計画,下ごしらえ
計画,取り合わせ
計画,行動計画
計画,企む
計画,考える
計画,考える
計画,企てる
計画,考える
計画,考案
計画,考え
計画,思惟作用
計画,下ごしらえ
計画,取り合わせ
計画,行動計画
計画,企む
計画,考える
計画,考える
計画,企てる
計画,考える
相討ち,終わり
岩綿,誘電体
４０代,人生の一時期
叫ぶ,叫泣き
叫ぶ,談じ込む
叫ぶ,おっしゃる
叫ぶ,おっしゃる
叫ぶ,発語
叫ぶ,発語
叫ぶ,号ぶ
叫ぶ,号ぶ
叫ぶ,叫泣き
叫ぶ,談じ込む
叫ぶ,おっしゃる
叫ぶ,おっしゃる
叫ぶ,発語
叫ぶ,発語
叫ぶ,号ぶ
叫ぶ,号ぶ
カワヤナギ,柳
特異性,特殊性
特異性,持ち味
特異性,持ち味
デメリット,傾向
デメリット,不利
ファクトリー,プラント
ツビーバック,オーブンで焼かれた食品
制限,規制
制限,束縛
制限,不利
制限,コントロール
制限,口述
制限,統制
制限,制約
制限,押さえる
制限,減じる
制限,規制
制限,束縛
制限,不利
制限,コントロール
制限,口述
制限,統制
制限,制約
制限,押さえる
制限,減じる
色あせる,掻消える
色あせる,掻消える
発明権,権利
バンクシア,低木
スティンガー,カクテル
結婚指輪,リング
シェル,動物質
シェル,レース艇
シェル,カヴァー
不裁可,採決
構築,造営
構築,生みだす
構築,生みだす
構築,基礎づける
構築,造営
構築,生みだす
構築,生みだす
構築,基礎づける
うちとける,遷移
襤褸切,廃物
襤褸切,部分
豪壮さ,優等
豪壮さ,風情
聯隊,体
話方,流儀
書き入れる,書きおろす
思い返す,指示
思い返す,思いだす
思い返す,考える
零時,時剋
アーリア人,紅毛
承認すること,後押し
製出,創造
製出,作り上げる
製出,生みだす
イラストレーター,絵描
流涙,生体機能
付加,増
付加,要素
付加,増
付加,入換える
付加,増加
付加,増
付加,要素
付加,増
付加,入換える
付加,増加
揺さぶれる,震う
揺さぶれる,揺さ振れる
分かち合う仕事,試み
山パーレン,句読
コーティング,装飾性
コーティング,覆い
コーティング,覆う
コーティング,装飾性
コーティング,覆い
コーティング,覆う
至適化,研ぎ澄ます
背理,ちんぷんかん
引っ張り出す,引去る
引っ張り出す,引く
引っ張り出す,引去る
引っ張り出す,取り出す
押しかぶせる,触れ合う
押しかぶせる,秘し隠す
ウォールフラワー,観賞花
牧師,精神的指導者
失業手当,社会福祉
トコフェロール,酸化防止剤
御開き,締め括り
妬み,羨望
行詰,状況
情動障害,精神的疾患
文理,レクチャー
園地,土地
園地,庭地
変質,変易
変質,出来事
変質,変易
変質,出来事
ローム,泥
びく,バスケット
一時凌ぎ,方便
背骨,コネクタ
盛る,なる
盛る,膨張
土工,労働者
脂肪組織,動物組織
キーストーン,本塁
キーストーン,ポジション
キーストーン,お手伝い
俘虜収容所,収容所
慎み,コントロール
慎み,礼儀正しさ
消費財,商品
ローブ,お召し物
ローブ,アウターウエア
耳障りな音,物音
カラーテレビ,テレビシステム
討ち果す,打ち留める
市乳,乳製品
市乳,飲み料
喰らわす,供給
拘らう,動く
拘らう,凝らす
終える,終らす
終える,終わる
終える,もうける
終える,終らす
終える,入換える
終える,終らす
格納,コンピュータ操作
格納,敷金
格納,収容
格納,取っておく
格納,コンピュータ操作
格納,敷金
格納,収容
格納,取っておく
火を付ける,怒らせる
出陳,顕示
出陳,顕示
峻烈さ,難
タテゴトアザラシ,海豹
工合,属性
工合,動静
工合,容態
穴隙,くぼ地
穴隙,明き
穴隙,透き間
穴隙,販路
インスピレーションの素,霊感
先回り,動く
とっこ,トリックスター
カエデ,材
落とし込む,唆る
記者会見,コンファレンス
持,終わり
漏出,流出
漏出,放出
漏出,表われる
漏出,流れる
漏出,流出
漏出,放出
漏出,表われる
漏出,流れる
弘報,内容
弘報,アド
心的表示,認知的内容
喉音,子音
社員食堂,大衆食堂
清適,閑寂
カラント,干し葡萄
腰を回す,ダンス
汚職,誘い
汚職,心配
味方,連邦
味方,利益
味方,個人
味方,仲間
味方,論辨
味方,連邦
味方,利益
味方,個人
味方,仲間
味方,論辨
転調,パッサージ
秘めごと,報
マウンテンバイク,銀輪
取潰し,フィニッシュ
打ち切る,切る
打ち切る,中断
打ち切る,入換える
打ち切る,終らす
打ち切る,押しとどめる
打ち切る,切る
打ち切る,切る
ポニー,牡馬
味噌滓,性状
穿り出す,扱き下ろす
穿り出す,引去る
経験主義,哲理
資格,至当
資格,権利
サルサ,調味料
インシュレーション,別ち
薔薇色,有彩色
１つ,例
精神安定薬,向精神薬
親戚,個人
親戚,結付き
とり払い,分立
バッファー,記憶装置
総合,事実
総合,取り合わせ
総合,理論的思考
総合,結び合せる
総合,事実
総合,取り合わせ
総合,理論的思考
総合,結び合せる
姉さん,女子
姉さん,女子
阿呆,二本棒
阿呆,二本棒
阿呆,習性
阿呆,二本棒
阿呆,二本棒
阿呆,習性
シャロット,タマネギ
シャロット,玉ねぎ
シャロット,鱗茎
パンフ,韋編
パンフ,学術論文
ペヨーテ,幻覚剤
乳香,護謨
尿道炎,尿路感染症
謎々,ゲーム
無道,心配
無道,悪虐
無道,心配
無道,悪虐
無水亜ヒ酸,三酸化物
含有量,割合い
連帯意識,凡庸
検める,手直し
抜写し,1節
吊りひも,ライン
下り腹,症候
ボケ,低木
拍車,突き棒
サイト,土地
サイト,コンピュータ
圧拉ぐ,押す
圧拉ぐ,押す
心配,心理状態
心配,頭痛の種
心配,情感
心配,患い
心配,出来事
心配,患い
心配,怖じけ
心配,不安がる
心配,憫察
心配,思扱う
心配,磨る
心配,心理状態
心配,頭痛の種
心配,情感
心配,患い
心配,出来事
心配,患い
心配,怖じけ
心配,不安がる
心配,憫察
心配,思扱う
心配,磨る
心配,心理状態
心配,頭痛の種
心配,情感
心配,患い
心配,出来事
心配,患い
心配,怖じけ
心配,不安がる
心配,憫察
心配,思扱う
心配,磨る
段梯子,階
辨天,女子
莚,スペース
雪隠,室
相伴う,添う
相伴う,動く
相伴う,添う
波除,障壁
牢舎,虫
牢舎,虫
車１台分の乗客,集団
争い戦う,争う
男児,男性
智,才智
智,ノーハウ
交響曲,ソナタ
交響曲,オーケストラ
取りなす,取引き
天体,自然物
新来者,到着者
新来者,初心者
海門,水道
海門,水体
ソルティン,クラッカー
ギーギーという音,発話
脇腹,身体部位
支払期限,日づけ
卵,食料品
卵,配偶子
卵,卵細胞
慨嘆,オブジェクション
慨嘆,扱き下ろす
慨嘆,オブジェクション
慨嘆,扱き下ろす
刑期,ターム
運動伝達装置,メカ
宣言,口述
宣言,声明
宣言,声明
宣言,口述
宣言,鑑定
宣言,言いきる
宣言,発語
宣言,表題を付ける
宣言,告げ知らせる
宣言,言いきる
宣言,宣誓
宣言,口述
宣言,声明
宣言,声明
宣言,口述
宣言,鑑定
宣言,言いきる
宣言,発語
宣言,表題を付ける
宣言,告げ知らせる
宣言,言いきる
宣言,宣誓
出捐,おくり物
出捐,金高
出捐,贈る
出捐,おくり物
出捐,金高
出捐,贈る
後任,同僚
後任,掛替え
後任,代役
極値,限度
水こし,瀘過器
小書き,解釈
地政学,政治学
塩化ナトリウム,塩加減
用足し,サプライヤー
くずれる,くずれ落ちる
録する,書きとめる
録する,取っておく
録する,書きおろす
出来事,事
辯駁,捨去る
辯駁,打ち消す
高血圧症,心血管疾患
烏滸,二本棒
内省,熟考
均衡予算,予算案
シュールレアリスト,絵描
薙倒す,切る
ロイマチス,関節炎
ロイマチス,自己免疫疾患
ロイマチス,疾病
大学代表チーム,チーム
白い物,レイヤ
白い物,パウダー
白い物,化粧
株券,証券
結球,植物器官
ビッグバンド,バンド
債務,責
債務,動静
縛目,留具
ビチューメン,炭化水素
南洋,渡津海
微細,小ささ
微細,小ささ
デュエル,ファイト
柱頭,生殖構造
柱頭,頭
イマジネイション,創造性
スチルベストロール,エストロゲン
リンパ腫,癌腫
インタヴュー,語らう
傍聴料,勘定
交り,性行為
交り,社会活動
十全,動静
十全,動静
パイナップル,草
パイナップル,果物
固い毛,衣料繊維
オガワコマッコウ,ハクジラ亜目
横とんぼ返り,軽業
背後,表
背後,面
背後,附随
背後,見晴らし
しゃがみ込む,座する
沈黙,容態
沈黙,押さえ付ける
沈黙,容態
沈黙,押さえ付ける
アラブ連盟,国際機関
かこつけ,辯解
あせること,素早さ
思い出,メモリ
常例,修練
常例,修練
常例,パターン
振向く,ご覧になる
ワイヤ,コンダクタ
ワイヤ,間膜
サーバル,山猫
丘岡,隆起
高層雲,層雲
ロケットランチャー,軍事兵器
心覚え,筆録
心覚え,内容
心覚え,メモリ
アイ,感官
撥ねかける,散じる
辛櫃,ボックス
指教,告げ知らせる
指教,指顧
複本位制,基準
布置,場所
布置,置く
布置,場所
布置,置く
予備,集積
渉禽,水禽
ブルジェアジー,社会経済的階級
鎌,刃物
一本化,取り合わせ
一本化,入換える
一本化,取り合わせ
一本化,入換える
小ぜり合い,ファイト
司法権,パワー
ガス銃,鉄砲
止,行ない
酸素化,自然作用
滅尽,掻消える
滅尽,打ち留める
あふれる元気,生彩
殿人,随行員
文芸批評,レビュー
文芸批評,著作
ふくれ返る,膨張
ハウスオーガン,機関紙
何とか手に入れる,得る
国権,自治
譲渡担保,抵当
ランダム化,体制
厭悪,情感
厭悪,心緒
厭悪,怨む
厭悪,厭う
厭悪,情感
厭悪,心緒
厭悪,怨む
厭悪,厭う
プロリン,アミノ酸
獣欲,大罪
獣欲,情欲
コメディ,脚本
コメディ,コメデー
優先スタート,アドヴァンテージ
存亡の機,大きな出来事
夕御飯,食事
異端者,不整合人
こびり付く,付着
呼格,斜格
十種競技,運動競技
伝え話し,物語り
インストラクション,内容
インストラクション,符号
開閉器,制御機
延べる,化ける
延べる,入換える
延べる,長める
ターミノロジー,単語
双子,兄弟
液果,木の実
液果,果物
稚児,子弟
喰過ぎ,大罪
ピアノフォルテ,弾物
ピアノフォルテ,打ち物
タマバチ,雀蜂
アグリビジネス,実業
乗り換える,動く
乗り換える,入れ換える
都督,熟達
都督,指顧
統括,結び合せる
寝返り,不誠意
対応物,同等のもの
コアラ,指結び
瓦,斤
瓦,プレート
十二時,時剋
エメリー,ミネラル
静止状態,休み
静止状態,休み
上長,成人
音,聴覚コミュニケーション
音,出来事
音,言語単位
音,音声
表号,表徴
表号,信号
親切,行ない
親切,温かさ
親切,行ない
親切,温かさ
植物,生物
感情的傾向,習性
オージー,ばか騒
見はずす,聞洩らす
シャーマニズム,信
シャーマニズム,信
当て推量,意嚮
当て推量,仮説
当て推量,見積り
解剖学者,巧者
老巧,巧者
老巧,巧者
釣下げる,引っ掛ける
釣下げる,吊す
曲名,呼称
理想主義,崇高
逃げ去る,脱出
逃げ去る,逃げ走る
逃げ去る,出で立つ
Cプログラム,プログラム
間接,途方
掛けあわせる,割出す
ちゅう,タッチ
ちゅう,接する
ちゅう,タッチ
ちゅう,接する
美術展,エキシビション
罰,不利
罰,改削
罰,社会統制
奇術師,公演者
奇術師,公演者
見得,気障っぽさ
殿舎,レジデンス
殿舎,大所
ハリケイン,サイクロン
思い回す,考える
節,ディ
節,構文
節,凸凹
節,著作
節,リンパ組織
節,著作
節,笛竹
節,笛竹
節,材
節,ディ
節,構文
節,凸凹
節,著作
節,リンパ組織
節,著作
節,笛竹
節,笛竹
節,材
粘着く,触れ合う
粘着く,付着
気流,流れ
気流,空合
脂肪細胞,体細胞
ダンプ,貨物自動車
先行,時
先行,御座る
先行,時
先行,御座る
寄贈,おくり物
寄贈,贈る
寄贈,賦する
寄贈,おくり物
寄贈,贈る
寄贈,賦する
干る,遷移
干る,終わる
縫合,番い目
縫合,作り付ける
縫合,番い目
縫合,作り付ける
塞きとめる,防ぐ
聴許,賦する
聴許,認可
そしる,誹議
バンク,隆起線
バンク,列
バンク,金融機関
バンク,傾ける
バンク,隆起線
バンク,列
バンク,金融機関
バンク,傾ける
照明装置,器械
副鼻腔炎,炎症
図案,下書き
図案,プラン
泣きたてる,発語
揺りうごかす,動かす
揺りうごかす,掻き立てる
揺りうごかす,震う
揺りうごかす,弱める
揺りうごかす,動かす
揺りうごかす,移転
気ばる,無駄遣い
セルフサービス,客会釈
松明,松
松明,ライト
踊り,芸術
踊り,気晴らし
拐引,取抑える
独自性,才幹
独自性,持ち味
独自性,性質
団扇,機器
裁決,公文書
裁決,意見
裁決,鑑定
裁決,申し渡す
裁決,思い定める
裁決,公文書
裁決,意見
裁決,鑑定
裁決,申し渡す
裁決,思い定める
聖霊棚,営造物
巧む,考える
巧む,考える
泡沫,バブル
割付る,割り付ける
割付る,按排
割付る,託する
勇気づけること,お手伝い
野性,動静
野性,我がまま
高官たち,体制
涸る,終わる
絵かき,絵描
絵かき,クレアトゥール
誘導コイル,コイル
内肛動物,無脊椎動物
むき出し,陰気な状態
むき出し,容態
むき出し,陰気な状態
むき出し,容態
泡立てる,雑ぜ返す
八角,薬味
種蒔き,置く
呉れて遣る,書き換える
腹積もり,取り合わせ
腹積もり,決断
喰切る,上がる
有線テレビ,テレビシステム
出版,印刷業
出版,実業
出版,書きおろす
出版,公表
出版,印刷業
出版,実業
出版,書きおろす
出版,公表
上下関係,オーガナイゼーション
製造元,企業
山羊,ウシ科
配管,ユーティリティ
配管,筒
配管,稼業
遠征隊,作業グループ
大洪水,地質現象
ジンク,メタール
末期,分野
末期,人生の一時期
末期,動静
末期,エンディング
諾足,歩行運動
ウォッチケース,入れもの
bar,記譜法
bar,室
ハト,家禽
ハト,象徴
サイクロイド,ルーレット
金工,玉屋
森羅万象,自然物
特色,性質
特色,性質
特色,性状
特色,持ち味
特色,属性
追越す,進行
リトルリーガー,野球選手
引き剥がす,引去る
ビス,留具
奸凶,容態
適す,調和
適す,かなう
源流,出来事
源流,場所
成り立つ,開ける
通信システム,システム
要請,要求
要請,責
要請,アクティビティー
要請,要求
要請,頼む
要請,要求
要請,責
要請,アクティビティー
要請,要求
要請,頼む
剽賊,盗人
細引き,ライン
ゴンドウクジラ,イルカ
磨りガラス,はり
ケースワーク,福祉事業
世迷言,内容
倉,舗
倉,施設
ファイル名,呼称
ヒレ,ビステキ
サイレン,警報
サイレン,警報器
担当,取りあつかう
愚かしさ,習性
愚かしさ,無能力
受伝える,告げ知らせる
実正,報
海岸地帯,岸べ
海岸地帯,地区
大きくする,入換える
書捨てる,書きおろす
入代わる,受継ぐ
乗用車,自動車
使い所,実用性
尼,苦手
頭分,主任
頭分,主任
遺恨,意地悪さ
遺恨,反感
遺恨,辛辣
預ける,渡す
預ける,託する
預ける,渡す
預ける,賦する
煌く,放射
人間嫌い,毛ぎらい
代赭,ブラウン
技師,個人
技師,熟練工
相撃ち,終わり
掛り合い,動静
掛り合い,抽象的実体
掛り合い,動静
掛り合い,結付き
掛り合い,結付き
コンピュータユーザー,個人
経済援助,おくり物
幽霊,霊魂
幽霊,幻影
歩道橋,架け橋
イラスト,アートワーク
反発,動くこと
反発,反応
反発,導通抵抗
反発,行ない
糸球体,毛細血管
悪性貧血,貧血
郵便番号,暗号
転位,再構成
転位,遷移
転位,再構成
転位,遷移
ミツバチの巣箱,器物
アジる,唆る
アジる,唆る
アジサイ,低木
くぐもる,発語
零空間,位相空間
円関数,写像
日影,可視放射
渦巻発条,撥条
誑かす,被害者にする
誑かす,騙す
誑かす,まやかす
誑かす,謀る
誑かす,勧誘
提げ篭,器物
ミミズ,貧毛類
首府,中枢
アフロアジア語族,自然言語
トレードユニオン,オーガナイゼーション
戦勝,フィニッシュ
戦勝,大成
もや,アエロゾル
もや,アエロゾル
もや,狭霧
拍手,可決
拍手,身振りで表す
拍手,身振りで表す
拍手,可決
拍手,身振りで表す
拍手,身振りで表す
財宝,有形の所有物
財宝,富祐
財宝,所蔵
財宝,集団
神話学,社会人類学
耐久年数,ピリオド
オートケーキ,クイックブレッド
言い伝え,物語り
絶対主義,イデオロギー
デスクトップPC,パーソナルコンピューター
追抜く,進行
船員の仕事,労働
単価,必要経費
チェイン,企業
チェイン,間膜
丈夫さ,強さ
御祖父,祖父母
カムフラージュ,色
カムフラージュ,隠匿行為
カムフラージュ,覆う
カムフラージュ,色
カムフラージュ,隠匿行為
カムフラージュ,覆う
朝飯前,課題
手術台,卓子
キャットフード,ペットフード
固有性,持ち味
打ち続ける,たたく
四番目,地位
ぶらぶら歩く,歩く
編曲者,ミュージッシャン
特異さ,持ち味
サブスティテューション,バリエーション
押被せる,触れ合う
押被せる,秘し隠す
積み重なる,増加
妊娠中絶,締め括り
湾曲部,曲がり
下むき,容態
葵,マロウ
葵,マロウ
アカデミー,施設
アカデミー,エスタブリシュメント
ハイレベルフォーマッティング,初期化
截割る,裂く
滅茶,ちんぷんかん
滅茶,ちんぷんかん
画像,ビジュアルコミュニケーション
貴族院,インスティチューション
町長,文官
町長,政客
リサイタル,演芸
打取る,打負かす
引き起こす,生みだす
引き起こす,生みだす
引き起こす,誘発
引き起こす,産む
同語反復,真成
胸騒,虞
休みを取る,中断
高まる,膨張
高まる,遷移
高まる,遷移
高まる,増加
高まる,増加
高まる,開ける
高まる,増やす
ゴールキーパー,サッカー選手
御茶の子,課題
伝え話,物語り
ヒート,温度
食せ物,トリックスター
エンレイソウ,球根類
火切り,機器
TNF,サイトカイン
追い越す,進行
使節団,オーガナイゼーション
呼集,呼出す
回道,途
レボルバー,拳銃
チョイス,鑑定
チョイス,思い定める
アラーム,時辰儀
アラーム,機器
幹線道路,途
頼む,頼みこむ
頼む,談じ込む
頼む,信じる
頼む,要求
頼む,要求
頼む,伝達
ノンプロ,個人
ケーク,オーブンで焼かれた食品
レンジャク,鳴禽類
アクリル繊維,合成繊維
手詰まり,状況
思い設ける,存知上げる
引返す,立ち戻る
引返す,逆転
プリマバレリーナ,バレリーナ
同期,綜合
同期,入換える
同期,図らう
同期,綜合
同期,入換える
同期,図らう
企業合併,綜合
御一緒,動く
珪肺症,塵肺症
理論,意見
理論,原理
理論,解説
理論,仮説
ルーガー,半自動
押詰まり,動静
律格,概念
律格,指し図
創立,経始
創立,経始
創立,先がけ
創立,開始
創立,経始
創立,経始
創立,先がけ
創立,開始
静止軌道,軌道
猛烈さ,ハード
インディビジュアリティー,性質
押える,防ぐ
押える,セーヴ
押える,押さえる
押える,制約
押える,押さえ付ける
押える,押さえ付ける
押える,要求
押える,制限
押える,取る
押える,圧す
精神衛生学,精神病理学
亜麻仁油,油
築上げる,先がけ
築上げる,生みだす
喪章,バンド
喪章,バンド
お仕舞い,時点
お仕舞い,セクション
お仕舞い,動静
お仕舞い,出来事
お仕舞い,エンディング
お仕舞い,フィニッシュ
閉め出す,禁制
閉め出す,押しとどめる
オットセイ,アシカ科
オットセイ,アシカ科
リリース,給する
リリース,公表
終油の秘跡,サクラメント
架電,電話通信
架電,電話通信
不愛想,失敬
酔,不摂生
特売催し,時
ボビーソックス,ソックス
不結果,出来事
不結果,出来事
細君,女子
細君,ベターハーフ
定食,品書き
掻き切る,切る
大豆ミール,穀粉
振る,移転
振る,割り付ける
振る,捌く
振る,軽く揺らす
振る,放置
振る,反応
振る,託する
振る,配る
振る,身振りで表す
振る,取去る
振る,移転
肺魚,硬骨魚
容易に行うこと,八挺
神性,性状
犀,ウマ目
領分,分野
領分,地理的地域
領分,環境
品,全般
品,傲り
品,アーチファクト
品,実体
品,アーチファクト
タゲリ,チドリ
捻じれ,動くこと
長径,軸
略する,奪い取る
略する,減じる
略する,消去
ミッション,ギヤー
ミッション,ワーク
ミッション,オーガナイゼーション
ミッション,軍事行動
禁錮,罰すること
禁錮,足止め
禁錮,取り篭める
禁錮,罰すること
禁錮,足止め
禁錮,取り篭める
持ち掛ける,提言
持ち掛ける,言いきる
饗膳,食事
規則正しさ,性状
対象化,現実化
危急存亡の秋,大きな出来事
卿相,エグゼクティヴ
跳ね掛ける,散じる
フェスティヴァル,ピリオド
フェスティヴァル,祝賀
クラーレ,アルカロイド
封じ込む,作動しなくする
吸筒,フレスコ
成り行く,終わる
旋法,全音階
階,営造物
階,道
帰服,敗北
帰服,敗北
煩慮,患い
煩慮,情感
煩慮,苦労
煩慮,不安がる
煩慮,患い
煩慮,情感
煩慮,苦労
煩慮,不安がる
むかっ腹,不機嫌
むかっ腹,主情
化学物質,マティエール
太白,甘味料
アート紙,ペーパー
気晴し,アクティビティー
コントラクトブリッジ,ブリッジ
呼びおこす,掻き立てる
反す,移転
オープナー,滑出し
オープナー,手工具
カリスマ,魅力
カリスマ,興味を起こさせる力
ケチャップ,調味料
ハミング,唱歌
ハミング,歌う
ハミング,唱歌
ハミング,歌う
一摘み,一片
強制力,遣り口
清酒,御神酒
還る,逆転
還る,動く
圧しあう,押す
書き込む,吹きこむ
パテ,セメント
パテ,パイ
パテ,ペースト
パテ,一品
評,口述
評,レビュー
結合エネルギー,エナージー
羊膜腔,窪み
エージ,世紀
コクサッキーウイルス,腸内ウイルス
保留する,保持
ブリュッセルグリフォン,飼い犬
突き除ける,押す
空想家,個人
真界,王国
副署,書き判
自己弁護,補助
自己弁護,補助
到来物,取得
ハーブティー,御茶
入り江,水体
入り江,水体
経る,動く
工人,熟練工
さし招く,引き付ける
マーケットプライス,値打
鰥夫,男性
サードベイスマン,内野手
透彫り,ワーク
イクスチェンジ,取引き
イクスチェンジ,銭
イクスチェンジ,入れ換える
イクスチェンジ,取引き
イクスチェンジ,銭
イクスチェンジ,入れ換える
拝覧,見取る
粗利益,比
粗利益,所得
迸発,放出
迸発,流出
迸発,深まる
迸発,放出
迸発,流出
迸発,深まる
系列,集まり
系列,構造
手始め,滑出し
冬越し,過す
年上,成人
取決める,讃する
コースト,岸べ
屈する,伸びる
屈する,受容れる
屈する,湾曲
屈する,賦する
屈する,動かす
屈する,受容れる
囲い,国境線
囲い,女子
囲い,色
囲い,障壁
囲い,区劃
暮合い,時剋
暮合い,昼日中
組み合わす,交ぜ合わせる
組み合わす,プラス
組み合わす,継ぎ合わせる
市人,ブルジョア
失望,不平
失望,心緒
失望,阻む
失望,不平
失望,心緒
